id,route,latitude,longitude
344,4,3.00353374,101.7183136
345,4,3.0035899,101.718391
346,4,3.00353374,101.7185175
347,4,3.003426101,101.7185245
348,4,3.003330162,101.718466
349,4,3.002474114,101.7184375
350,4,3.001934288,101.7184742
351,4,3.001339989,101.718376
352,4,3.000925846,101.7183655
353,4,3.000714803,101.7183592
354,4,3.000672594,101.7182789
355,4,3.000429895,101.7169031
356,4,3.000326484,101.716417
357,4,3.000330705,101.7163494
358,4,3.000018362,101.7148468
359,4,2.999784104,101.7135831
360,4,2.999731343,101.7134816
361,4,2.999680693,101.7132766
362,4,2.999611049,101.7131181
363,4,2.999532963,101.7129491
364,4,2.999254386,101.7123489
365,4,2.999136202,101.7119199
366,4,2.999041233,101.7109752
367,4,2.998855515,101.7095382
368,4,2.998591711,101.7080546
369,4,2.998604374,101.707465
370,4,2.998564275,101.7069134
371,4,2.998249821,101.705768
372,4,2.998230827,101.7055313
373,4,2.99829414,101.7037202
374,4,2.998129526,101.703549
375,4,2.996083067,101.7035549
376,4,2.994308481,101.7039084
377,4,2.993692847,101.7039911
378,4,2.993634716,101.7040275
379,4,2.993491487,101.7040438
380,4,2.993122788,101.7040735
381,4,2.992690543,101.7040773
382,4,2.992120909,101.7041951
383,4,2.991880384,101.7042832
384,4,2.991618348,101.7044026
385,4,2.991115788,101.7046357
386,4,2.99103102,101.7046767
387,4,2.989691545,101.7053518
388,4,2.988860684,101.7056784
389,4,2.986791941,101.7059243
390,4,2.986138928,101.7060786
391,4,2.985753858,101.7062543
392,4,2.985320599,101.7065235
393,4,2.98477074,101.7069696
394,4,2.984666865,101.7071021
395,4,2.984228696,101.7074806
396,4,2.983507006,101.7081136
397,4,2.982988228,101.7085067
398,4,2.981946845,101.7092452
399,4,2.981474461,101.7096773
400,4,2.980594621,101.7106158
401,4,2.980590782,101.7106277
402,4,2.980206825,101.710957
403,4,2.979677143,101.7112167
404,4,2.979549503,101.7113608
405,4,2.979511751,101.7115282
406,4,2.979441639,101.7118612
407,4,2.979466807,101.7124283
408,4,2.979556694,101.7127577
409,4,2.980401634,101.7148459
410,4,2.98055624,101.7153446
411,4,2.980662306,101.7156308
412,4,2.980815114,101.715719
413,4,2.980793542,101.715908
414,4,2.980709048,101.71598
415,4,2.980565228,101.715998
416,4,2.980504105,101.7159656
417,4,2.980432298,101.7159976
418,4,2.980394128,101.7160104
419,4,2.98012624,101.7161197
420,4,2.979644765,101.7161539
421,4,2.979312254,101.7161009
422,4,2.978794701,101.7159629
423,4,2.978298148,101.7158249
424,4,2.978150418,101.7157229
425,4,2.97811058,101.7156188
426,4,2.97811058,101.7155624
427,4,2.978113495,101.7154884
428,4,2.978137787,101.7153843
429,4,2.978172766,101.7152588
430,4,2.978201916,101.7149474
431,4,2.978193171,101.714746
432,4,2.978141673,101.7145261
433,4,2.978081015,101.71433
434,4,2.978088381,101.7143226
435,4,2.978175077,101.7145562
436,5,2.991720962,101.7075562
437,5,2.99173369,101.7076214
438,5,2.991520998,101.7076131
439,5,2.990717144,101.7077001
440,5,2.990544661,101.7079239
441,5,2.990509737,101.7104568
442,5,2.990507255,101.7107351
443,5,2.990494674,101.7109699
444,5,2.990499809,101.7114782
445,5,2.990591638,101.7117963
446,5,2.991688617,101.7128898
447,5,2.991859864,101.7131284
448,5,2.99193432,101.7133993
449,5,2.991951693,101.714535
450,5,2.991991402,101.7148954
451,5,2.992031112,101.7157876
452,5,2.992043521,101.7176043
453,5,2.992066615,101.7177444
454,5,2.992079618,101.7179469
455,5,2.992148968,101.7179947
456,5,2.992153303,101.7181176
457,5,2.992102735,101.7181697
458,5,2.992144634,101.7182782
459,5,2.992212539,101.7184243
460,5,2.992445293,101.7188213
461,5,2.992695015,101.7189626
462,5,2.99277417,101.7190831
463,5,2.99274884,101.7193082
464,5,2.992644356,101.7198931
465,5,2.992701111,101.7199596
466,5,2.9926466,101.7200851
467,5,2.992549845,101.7201479
468,5,2.992511687,101.7202311
469,5,2.992465354,101.7203089
470,5,2.992091599,101.7211483
471,5,2.991978387,101.7213252
472,5,2.991817082,101.721466
473,5,2.991502101,101.7216589
474,5,2.991343319,101.7218639
